Taxa	Fresh	Brackish	Marine	total
D_2__AlphaproteobacteriaD_3__Parvibaculales	NA	NA	1	11
D_2__GammaproteobacteriaD_3__Betaproteobacteriales	0.285714285714286	0.571428571428571	0.142857142857143	396
D_2__ThermoplasmataD_3__Marine Group II	NA	NA	NA	27
D_2__BacteroidiaD_3__Bacteroidetes VC2.1 Bac22	NA	1	NA	8
D_2__AlphaproteobacteriaD_3__Rhodobacterales	0.0588235294117647	0.647058823529412	0.294117647058824	372
D_2__OxyphotobacteriaD_3__Synechococcales	0.222222222222222	0.777777777777778	NA	102
D_2__VerrucomicrobiaeD_3__Verrucomicrobiales	NA	1	NA	77
D_2__BacteroidiaD_3__Flavobacteriales	0.117647058823529	0.764705882352941	0.117647058823529	636
D_2__GammaproteobacteriaD_3__Alteromonadales	NA	NA	NA	169
D_2__VerrucomicrobiaeD_3__uncultured	NA	NA	NA	38
D_2__BacteroidiaD_3__Cytophagales	0.333333333333333	0.333333333333333	0.333333333333333	51
D_2__AlphaproteobacteriaD_3__SAR11 clade	0.2	0.466666666666667	0.333333333333333	333
D_2__AcidimicrobiiaD_3__Microtrichales	0.5	0.4	0.1	113
D_2__GammaproteobacteriaD_3__Vibrionales	NA	NA	NA	44
D_2__DeltaproteobacteriaD_3__Desulfobacterales	NA	1	NA	36
D_2__GammaproteobacteriaD_3__Ga0077536	NA	NA	NA	7
D_2__AlphaproteobacteriaD_3__Caulobacterales	1	NA	NA	58
D_2__ActinobacteriaD_3__Frankiales	0.818181818181818	0.181818181818182	NA	121
D_2__uncultured marine bacteriumD_3__uncultured marine bacterium	NA	1	NA	14
D_2__VerrucomicrobiaeD_3__Opitutales	NA	1	NA	48
D_2__uncultured bacteriumD_3__uncultured bacterium	0.5	0.5	NA	70
D_2__GammaproteobacteriaD_3__SAR86 clade	NA	0.5	0.5	103
D_2__AlphaproteobacteriaD_3__Thalassobaculales	NA	1	NA	14
D_2__ActinobacteriaD_3__PeM15	NA	1	NA	25
D_2__AlphaproteobacteriaD_3__Puniceispirillales	NA	0.8	0.2	56
D_2__GammaproteobacteriaD_3__KI89A clade	NA	1	NA	10
D_2__AlphaproteobacteriaD_3__Rhizobiales	NA	NA	NA	71
D_2__NitrososphaeriaD_3__Nitrosopumilales	NA	NA	NA	21
D_2__GammaproteobacteriaD_3__Cellvibrionales	NA	0.8	0.2	149
D_2__BacteroidiaD_3__Chitinophagales	0.75	0.25	NA	62
D_2__OxyphotobacteriaD_3__Nostocales	NA	1	NA	43
D_2__AlphaproteobacteriaD_3__Sphingomonadales	NA	NA	1	115
D_2__AlphaproteobacteriaD_3__Rickettsiales	NA	NA	NA	19
D_2__GammaproteobacteriaD_3__Pseudomonadales	NA	NA	NA	98
D_2__DeltaproteobacteriaD_3__SAR324 clade(Marine group B)	NA	1	NA	35
D_2__DeltaproteobacteriaD_3__Desulfarculales	NA	1	NA	12
D_2__AlphaproteobacteriaD_3__Rhodovibrionales	NA	NA	NA	8
D_2__NitrospiniaD_3__Nitrospinales	NA	NA	NA	30
D_2__AcidobacteriiaD_3__Solibacterales	NA	NA	NA	3
D_2__PlanctomycetaciaD_3__Pirellulales	NA	0.5	0.5	60
D_2__GammaproteobacteriaD_3__Oceanospirillales	NA	0.666666666666667	0.333333333333333	107
D_2__AlphaproteobacteriaD_3__Rhodospirillales	NA	1	NA	94
D_2__GammaproteobacteriaD_3__Arenicellales	NA	NA	NA	9
D_2__GammaproteobacteriaD_3__Coxiellales	NA	NA	NA	5
D_2__GammaproteobacteriaD_3__UBA10353 marine group	NA	NA	NA	8
D_2__PlanctomycetaciaD_3__Planctomycetales	NA	1	NA	44
D_2__BacteroidiaD_3__Bacteroidales	NA	1	NA	14
D_2__AlphaproteobacteriaD_3__Kordiimonadales	NA	1	NA	9
D_2__GammaproteobacteriaD_3__Gammaproteobacteria Incertae Sedis	NA	NA	NA	10
D_2__GammaproteobacteriaD_3__Thiotrichales	NA	NA	NA	8
D_2__GammaproteobacteriaD_3__Ectothiorhodospirales	NA	NA	NA	10
D_2__GammaproteobacteriaD_3__OM182 clade	NA	NA	NA	14
D_2__AlphaproteobacteriaD_3__Micropepsales	NA	NA	NA	2
D_2__ActinobacteriaD_3__Pseudonocardiales	NA	NA	NA	1
D_2__VerrucomicrobiaeD_3__Chthoniobacterales	0.4	0.6	NA	16
D_2__GammaproteobacteriaD_3__Steroidobacterales	NA	NA	NA	31
D_2__BacteroidiaD_3__Sphingobacteriales	NA	1	NA	50
D_2__GammaproteobacteriaD_3__Methylococcales	NA	1	NA	16
D_2__ActinobacteriaD_3__Micrococcales	NA	1	NA	59
D_2__AcidimicrobiiaD_3__Actinomarinales	NA	NA	1	34
D_2__AlphaproteobacteriaD_3__Acetobacterales	NA	NA	NA	8
D_2__DeltaproteobacteriaD_3__Bradymonadales	NA	NA	NA	9
D_2__DeltaproteobacteriaD_3__Bdellovibrionales	NA	NA	NA	27
D_2__GammaproteobacteriaD_3__PLTA13	NA	NA	NA	3
D_2__ThermoplasmataD_3__Marine Group III	NA	NA	NA	2
D_2__CampylobacteriaD_3__Campylobacterales	NA	1	NA	65
D_2__ThermoanaerobaculiaD_3__Thermoanaerobaculales	NA	NA	NA	6
D_2__BacilliD_3__Bacillales	NA	NA	NA	5
D_2__GammaproteobacteriaD_3__Nitrosococcales	NA	NA	NA	12
D_2__SaccharimonadiaD_3__Saccharimonadales	NA	NA	NA	7
D_2__NitrospiraD_3__Nitrospirales	NA	NA	NA	4
D_2__OM190D_3__unidentified planctomycete	NA	NA	NA	1
D_2__OligosphaeriaD_3__P.palmC41	NA	NA	NA	2
D_2__LatescibacteriaD_3__Latescibacterales	NA	NA	NA	1
D_2__DeltaproteobacteriaD_3__Myxococcales	NA	NA	NA	10
D_2__VerrucomicrobiaeD_3__Pedosphaerales	NA	NA	NA	11
D_2__GammaproteobacteriaD_3__Xanthomonadales	NA	NA	NA	13
D_2__ClostridiaD_3__Clostridiales	NA	NA	NA	17
D_2__PhycisphaeraeD_3__Phycisphaerales	1	NA	NA	28
D_2__AnaerolineaeD_3__Anaerolineales	NA	NA	NA	12
D_2__SpirochaetiaD_3__Spirochaetales	NA	NA	NA	5
D_2__MicrogenomatiaD_3__Candidatus Pacebacteria	NA	NA	NA	2
D_2__DehalococcoidiaD_3__SAR202 clade	NA	1	NA	15
D_2__uncultured bacterium MB13C05D_3__uncultured bacterium MB13C05	NA	NA	NA	1
D_2__ActinobacteriaD_3__Corynebacteriales	NA	1	NA	35
D_2__GammaproteobacteriaD_3__EPR3968-O8a-Bc78	NA	NA	NA	1
D_2__GammaproteobacteriaD_3__Pasteurellales	NA	NA	NA	2
D_2__GammaproteobacteriaD_3__Thiomicrospirales	NA	0.2	0.8	27
D_2__OM190D_3__uncultured planctomycete	NA	1	NA	3
D_2__AlphaproteobacteriaD_3__Reyranellales	NA	1	NA	5
D_2__GracilibacteriaD_3__uncultured Flavobacterium sp.	NA	NA	NA	1
D_2__DeltaproteobacteriaD_3__NB1-j	NA	NA	NA	5
D_2__ThermoleophiliaD_3__Gaiellales	NA	NA	NA	9
D_2__LongimicrobiaD_3__Longimicrobiales	NA	NA	NA	1
D_2__HydrogenedentiaD_3__Hydrogenedentiales	NA	NA	NA	5
D_2__GemmatimonadetesD_3__Gemmatimonadales	NA	NA	NA	6
D_2__LentisphaeriaD_3__Lentisphaerales	NA	NA	NA	2
D_2__OxyphotobacteriaD_3__Pseudanabaenales	NA	NA	NA	4
D_2__KiritimatiellaeD_3__WCHB1-41	NA	NA	NA	3
D_2__DeltaproteobacteriaD_3__Oligoflexales	NA	NA	NA	5
