Taxa	Fresh	Brackish	Marine	total
D_2__AlphaproteobacteriaD_3__SAR11 clade	0.2	0.74	0.06	929
D_2__BacteroidiaD_3__Flavobacteriales	0.219512195121951	0.451219512195122	0.329268292682927	2407
D_2__ActinobacteriaD_3__Frankiales	0.819444444444444	0.180555555555556	NA	358
D_2__ActinobacteriaD_3__Micrococcales	0.75	0.178571428571429	0.0714285714285714	581
D_2__AlphaproteobacteriaD_3__Rhodobacterales	0.0422535211267606	0.556338028169014	0.401408450704225	1675
D_2__GammaproteobacteriaD_3__Betaproteobacteriales	0.515254237288136	0.427118644067797	0.0576271186440678	6032
D_2__GammaproteobacteriaD_3__Oceanospirillales	0.0487804878048781	0.439024390243902	0.51219512195122	480
D_2__BacteroidiaD_3__Chitinophagales	0.587301587301587	0.349206349206349	0.0634920634920635	935
D_2__NitrososphaeriaD_3__Nitrosopumilales	0.142857142857143	0.857142857142857	NA	246
D_2__AlphaproteobacteriaD_3__Puniceispirillales	NA	0.458333333333333	0.541666666666667	118
D_2__BacteroidiaD_3__Cytophagales	0.5	0.333333333333333	0.166666666666667	527
D_2__CampylobacteriaD_3__Campylobacterales	0.111111111111111	0.777777777777778	0.111111111111111	429
D_2__BacteroidiaD_3__Sphingobacteriales	0.679245283018868	0.30188679245283	0.0188679245283019	705
D_2__VerrucomicrobiaeD_3__Verrucomicrobiales	0.545454545454545	0.227272727272727	0.227272727272727	276
D_2__GammaproteobacteriaD_3__Vibrionales	NA	0.9	0.1	554
D_2__GammaproteobacteriaD_3__Alteromonadales	NA	0.441176470588235	0.558823529411765	908
D_2__GammaproteobacteriaD_3__SAR86 clade	NA	0.9	0.1	252
D_2__GammaproteobacteriaD_3__Cellvibrionales	0.0487804878048781	0.463414634146341	0.48780487804878	440
D_2__AlphaproteobacteriaD_3__Rhodospirillales	NA	1	NA	203
D_2__OxyphotobacteriaD_3__Synechococcales	0.323529411764706	0.0588235294117647	0.617647058823529	339
D_2__AcidobacteriiaD_3__Solibacterales	1	NA	NA	172
D_2__AlphaproteobacteriaD_3__Sphingomonadales	0.625	0.25	0.125	1156
D_2__AcidimicrobiiaD_3__Actinomarinales	NA	0.666666666666667	0.333333333333333	85
D_2__GammaproteobacteriaD_3__Chromatiales	NA	NA	NA	31
D_2__ClostridiaD_3__Clostridiales	NA	0.333333333333333	0.666666666666667	1200
D_2__VerrucomicrobiaeD_3__Opitutales	0.875	0.125	NA	223
D_2__OmnitrophiaD_3__Omnitrophales	1	NA	NA	18
D_2__GammaproteobacteriaD_3__Nitrosococcales	NA	1	NA	35
D_2__MollicutesD_3__Acholeplasmatales	NA	NA	1	18
D_2__BacteroidiaD_3__Bacteroidales	0.75	NA	0.25	827
D_2__DeltaproteobacteriaD_3__Desulfobacterales	NA	NA	NA	289
D_2__GammaproteobacteriaD_3__Arenicellales	NA	0.5	0.5	36
D_2__RhodothermiaD_3__Balneolales	NA	1	NA	9
D_2__VerrucomicrobiaeD_3__uncultured	0.888888888888889	0.111111111111111	NA	191
D_2__VerrucomicrobiaeD_3__Chthoniobacterales	0.5	0.5	NA	182
D_2__FusobacteriiaD_3__Fusobacteriales	1	NA	NA	64
D_2__PlanctomycetaciaD_3__Isosphaerales	1	NA	NA	27
D_2__ArmatimonadiaD_3__Armatimonadales	1	NA	NA	17
D_2__GammaproteobacteriaD_3__Enterobacteriales	NA	0.5	0.5	418
D_2__GammaproteobacteriaD_3__Diplorickettsiales	NA	NA	NA	106
D_2__AlphaproteobacteriaD_3__Rickettsiales	0.5	0.5	NA	130
D_2__VerrucomicrobiaeD_3__Pedosphaerales	0.909090909090909	NA	0.0909090909090909	188
D_2__AlphaproteobacteriaD_3__Rhizobiales	0.454545454545455	0.545454545454545	NA	1340
D_2__GammaproteobacteriaD_3__Thiomicrospirales	NA	0.333333333333333	0.666666666666667	91
D_2__DeltaproteobacteriaD_3__Desulfovibrionales	NA	NA	NA	58
D_2__AlphaproteobacteriaD_3__Parvibaculales	NA	0.5	0.5	39
D_2__GammaproteobacteriaD_3__Gammaproteobacteria Incertae Sedis	NA	1	NA	156
D_2__ActinobacteriaD_3__PeM15	0.7	0.2	0.1	38
D_2__AlphaproteobacteriaD_3__Caulobacterales	0.642857142857143	0.285714285714286	0.0714285714285714	414
D_2__GammaproteobacteriaD_3__Pseudomonadales	0.444444444444444	0.444444444444444	0.111111111111111	1610
D_2__DeltaproteobacteriaD_3__Bdellovibrionales	0.875	0.125	NA	213
D_2__ThermoplasmataD_3__Methanomassiliicoccales	NA	NA	NA	14
D_2__BacilliD_3__Lactobacillales	NA	1	NA	251
D_2__ChloroflexiaD_3__Chloroflexales	1	NA	NA	7
D_2__OxyphotobacteriaD_3__Nostocales	1	NA	NA	162
D_2__uncultured soil bacteriumD_3__uncultured soil bacterium	NA	NA	NA	27
D_2__PlanctomycetaciaD_3__Pirellulales	NA	0.4	0.6	285
D_2__IgnavibacteriaD_3__Kryptoniales	NA	NA	NA	41
D_2__GammaproteobacteriaD_3__Thiotrichales	NA	0.5	0.5	58
D_2__FimbriimonadiaD_3__Fimbriimonadales	1	NA	NA	29
D_2__GammaproteobacteriaD_3__Aeromonadales	1	NA	NA	194
D_2__GammaproteobacteriaD_3__OM182 clade	NA	0.333333333333333	0.666666666666667	23
D_2__AnaerolineaeD_3__RBG-13-54-9	NA	NA	NA	24
D_2__GammaproteobacteriaD_3__Francisellales	NA	1	NA	18
D_2__HolophagaeD_3__Holophagales	0.75	0.25	NA	62
D_2__AcidimicrobiiaD_3__Microtrichales	0.294117647058824	0.588235294117647	0.117647058823529	251
D_2__GammaproteobacteriaD_3__Methylococcales	0.666666666666667	0.333333333333333	NA	150
D_2__vadinHA49D_3__metagenome	NA	1	NA	103
D_2__Subgroup 5D_3__uncultured Acidobacteria bacterium	1	NA	NA	219
D_2__GammaproteobacteriaD_3__KI89A clade	NA	1	NA	15
D_2__Subgroup 25D_3__uncultured bacterium	0.6	0.2	0.2	772
D_2__VerrucomicrobiaeD_3__Methylacidiphilales	1	NA	NA	26
D_2__NitrospiniaD_3__Nitrospinales	NA	1	NA	37
D_2__AnaerolineaeD_3__Anaerolineales	NA	1	NA	159
D_2__AlphaproteobacteriaD_3__Kordiimonadales	NA	1	NA	17
D_2__ThermoplasmataD_3__Marine Group II	NA	0.4	0.6	106
D_2__Subgroup 6D_3__uncultured prokaryote	NA	NA	NA	11
D_2__GammaproteobacteriaD_3__Ectothiorhodospirales	NA	NA	NA	28
D_2__DeltaproteobacteriaD_3__Deltaproteobacteria Incertae Sedis	NA	NA	NA	17
D_2__IgnavibacteriaD_3__OPB56	NA	1	NA	30
D_2__GammaproteobacteriaD_3__Steroidobacterales	NA	1	NA	116
D_2__PlanctomycetaciaD_3__Gemmatales	1	NA	NA	84
D_2__ActinobacteriaD_3__Propionibacteriales	NA	NA	NA	116
D_2__OxyphotobacteriaD_3__Pseudanabaenales	NA	1	NA	13
D_2__uncultured organismD_3__uncultured organism	NA	NA	NA	6
D_2__DeltaproteobacteriaD_3__Oligoflexales	0.5	0.5	NA	135
D_2__GammaproteobacteriaD_3__1013-28-CG33	NA	NA	NA	3
D_2__IgnavibacteriaD_3__Ignavibacteriales	NA	NA	NA	52
D_2__uncultured marine bacteriumD_3__uncultured marine bacterium	NA	0.333333333333333	0.666666666666667	18
D_2__NitrospiraD_3__Nitrospirales	0.5	0.5	NA	66
D_2__PhycisphaeraeD_3__Tepidisphaerales	NA	NA	NA	17
D_2__ThermoleophiliaD_3__Gaiellales	1	NA	NA	174
D_2__RhodothermiaD_3__Rhodothermales	NA	NA	NA	13
D_2__DeltaproteobacteriaD_3__Desulfuromonadales	0.333333333333333	0.666666666666667	NA	252
D_2__GracilibacteriaD_3__JGI 0000069-P22	NA	NA	NA	18
D_2__Blastocatellia (Subgroup 4)D_3__Blastocatellales	NA	NA	NA	110
D_2__DehalococcoidiaD_3__RBG-13-46-9	NA	NA	NA	1
D_2__DeltaproteobacteriaD_3__Myxococcales	1	NA	NA	431
D_2__DeltaproteobacteriaD_3__NB1-j	NA	NA	NA	36
D_2__DeltaproteobacteriaD_3__PB19	NA	NA	NA	18
D_2__GammaproteobacteriaD_3__Xanthomonadales	1	NA	NA	276
D_2__FibrobacteriaD_3__Fibrobacterales	NA	1	NA	41
D_2__PlanctomycetaciaD_3__Planctomycetales	NA	NA	1	140
D_2__GammaproteobacteriaD_3__Thiohalorhabdales	NA	1	NA	32
D_2__GammaproteobacteriaD_3__Coxiellales	NA	NA	NA	35
D_2__WoesearchaeiaD_3__uncultured euryarchaeote	NA	NA	NA	42
D_2__BacteroidiaD_3__Bacteroidetes VC2.1 Bac22	NA	0.5	0.5	31
D_2__DadabacteriiaD_3__Dadabacteriales	NA	NA	NA	5
D_2__MethanobacteriaD_3__Methanobacteriales	NA	NA	NA	30
D_2__AlphaproteobacteriaD_3__Sneathiellales	NA	NA	NA	17
D_2__MelainabacteriaD_3__Gastranaerophilales	NA	NA	NA	27
D_2__GammaproteobacteriaD_3__MBAE14	NA	NA	NA	4
D_2__DehalococcoidiaD_3__GIF9	NA	NA	NA	6
D_2__LatescibacteriaD_3__Latescibacterales	NA	NA	NA	6
D_2__ThermoanaerobaculiaD_3__Thermoanaerobaculales	NA	NA	NA	40
D_2__GammaproteobacteriaD_3__B2M28	NA	NA	NA	22
D_2__IgnavibacteriaD_3__SJA-28	NA	NA	NA	15
D_2__NanohaloarchaeiaD_3__Aenigmarchaeales	NA	NA	NA	4
D_2__AlphaproteobacteriaD_3__Rhodovibrionales	NA	NA	NA	15
D_2__NegativicutesD_3__Selenomonadales	NA	NA	NA	75
D_2__GammaproteobacteriaD_3__211ds20	1	NA	NA	9
D_2__DeltaproteobacteriaD_3__Desulfarculales	NA	NA	NA	38
D_2__GammaproteobacteriaD_3__Ga0077536	NA	NA	NA	20
D_2__ActinobacteriaD_3__Corynebacteriales	1	NA	NA	326
D_2__PhycisphaeraeD_3__Phycisphaerales	0.666666666666667	NA	0.333333333333333	65
D_2__GammaproteobacteriaD_3__Run-SP154	NA	NA	NA	7
D_2__GammaproteobacteriaD_3__R7C24	NA	NA	NA	32
D_2__ErysipelotrichiaD_3__Erysipelotrichales	NA	NA	NA	60
D_2__Blastocatellia (Subgroup 4)D_3__11-24	NA	NA	NA	25
D_2__ThermoleophiliaD_3__Solirubrobacterales	1	NA	NA	140
D_2__AlphaproteobacteriaD_3__Micavibrionales	NA	NA	NA	59
D_2__AlphaproteobacteriaD_3__Paracaedibacterales	1	NA	NA	48
D_2__Blastocatellia (Subgroup 4)D_3__Pyrinomonadales	NA	NA	NA	59
D_2__ParcubacteriaD_3__Candidatus Lloydbacteria	NA	NA	NA	2
D_2__GammaproteobacteriaD_3__UBA10353 marine group	NA	NA	1	25
D_2__GammaproteobacteriaD_3__Pasteurellales	NA	NA	NA	16
D_2__LentisphaeriaD_3__Victivallales	NA	NA	NA	10
D_2__SpirochaetiaD_3__Spirochaetales	NA	NA	NA	77
D_2__LeptospiraeD_3__Leptospirales	1	NA	NA	19
D_2__AlphaproteobacteriaD_3__Acetobacterales	1	NA	NA	153
D_2__MethanomicrobiaD_3__Methanosarcinales	NA	NA	NA	21
D_2__DeltaproteobacteriaD_3__Bradymonadales	1	NA	NA	12
D_2__DeltaproteobacteriaD_3__SAR324 clade(Marine group B)	NA	NA	1	56
D_2__DeinococciD_3__Deinococcales	NA	NA	NA	23
D_2__ThermoplasmataD_3__Marine Benthic Group D and DHVEG-1	NA	NA	NA	23
D_2__BD7-11D_3__uncultured planctomycete	NA	NA	NA	15
D_2__BacilliD_3__Bacillales	NA	NA	1	580
D_2__AlphaproteobacteriaD_3__Holosporales	NA	NA	NA	20
D_2__CPR2D_3__uncultured Firmicutes bacterium	NA	NA	NA	2
