Taxa	Fresh	Brackish	Marine	total
D_2__Alphaproteobacteria	0.186440677966102	0.538983050847458	0.274576271186441	6683
D_2__Bacteroidia	0.362244897959184	0.403061224489796	0.23469387755102	5432
D_2__Actinobacteria	0.80672268907563	0.168067226890756	0.0252100840336134	1645
D_2__Gammaproteobacteria	0.355932203389831	0.455508474576271	0.188559322033898	12566
D_2__Nitrososphaeria	0.142857142857143	0.857142857142857	NA	282
D_2__Campylobacteria	0.111111111111111	0.777777777777778	0.111111111111111	429
D_2__Verrucomicrobiae	0.75	0.15625	0.09375	930
D_2__Oxyphotobacteria	0.368421052631579	0.0789473684210526	0.552631578947368	553
D_2__Acidobacteriia	1	NA	NA	404
D_2__Acidimicrobiia	0.347826086956522	0.521739130434783	0.130434782608696	411
D_2__Clostridia	NA	0.333333333333333	0.666666666666667	1230
D_2__Omnitrophia	1	NA	NA	19
D_2__Mollicutes	NA	NA	1	58
D_2__Deltaproteobacteria	0.6	0.3	0.1	1745
D_2__Rhodothermia	NA	1	NA	22
D_2__Fusobacteriia	1	NA	NA	64
D_2__Planctomycetacia	0.222222222222222	0.222222222222222	0.555555555555556	541
D_2__Armatimonadia	1	NA	NA	17
D_2__Thermoplasmata	NA	0.4	0.6	150
D_2__Bacilli	NA	0.5	0.5	832
D_2__Chloroflexia	1	NA	NA	24
D_2__uncultured soil bacterium	NA	NA	NA	2
D_2__Ignavibacteria	NA	1	NA	138
D_2__Fimbriimonadia	1	NA	NA	29
D_2__Anaerolineae	NA	1	NA	273
D_2__Holophagae	0.75	0.25	NA	110
D_2__vadinHA49	NA	NA	NA	20
D_2__Subgroup 5	NA	NA	NA	58
D_2__Subgroup 25	NA	NA	NA	3
D_2__Nitrospinia	NA	1	NA	37
D_2__Subgroup 22	NA	NA	NA	31
D_2__Subgroup 6	0.5	0.5	NA	465
D_2__SL56 marine group	1	NA	NA	7
D_2__uncultured organism	NA	NA	NA	1
D_2__uncultured marine bacterium	NA	0.333333333333333	0.666666666666667	16
D_2__Sericytochromatia	NA	NA	NA	25
D_2__Nitrospira	0.5	0.5	NA	66
D_2__Phycisphaerae	0.666666666666667	NA	0.333333333333333	110
D_2__Thermodesulfovibrionia	NA	NA	NA	23
D_2__Thermoleophilia	1	NA	NA	319
D_2__Gracilibacteria	NA	NA	NA	95
D_2__Blastocatellia (Subgroup 4)	NA	NA	NA	202
D_2__Dehalococcoidia	NA	NA	NA	45
D_2__KD4-96	NA	NA	NA	60
D_2__Fibrobacteria	NA	1	NA	41
D_2__Woesearchaeia	NA	NA	NA	66
D_2__Dadabacteriia	NA	NA	NA	5
D_2__Methanobacteria	NA	NA	NA	30
D_2__Melainabacteria	NA	NA	NA	60
D_2__Latescibacteria	NA	NA	NA	6
D_2__Thermoanaerobaculia	NA	NA	NA	40
D_2__Nanohaloarchaeia	NA	NA	NA	4
D_2__Negativicutes	NA	NA	NA	75
D_2__Erysipelotrichia	NA	NA	NA	60
D_2__Parcubacteria	NA	NA	NA	78
D_2__Lentisphaeria	NA	NA	NA	16
