Taxa	Fresh	Brackish	Marine	total
D_2__AlphaproteobacteriaD_3__ParvibaculalesD_4__OCS116 clade	NA	NA	1	7
D_2__GammaproteobacteriaD_3__BetaproteobacterialesD_4__Neisseriaceae	NA	NA	NA	6
D_2__ThermoplasmataD_3__Marine Group IID_4__uncultured marine archaeon	NA	NA	NA	21
D_2__BacteroidiaD_3__Bacteroidetes VC2.1 Bac22D_4__uncultured bacterium	0.2	0.8	NA	246
D_2__AlphaproteobacteriaD_3__RhodobacteralesD_4__Rhodobacteraceae	0.0588235294117647	0.647058823529412	0.294117647058824	372
D_2__OxyphotobacteriaD_3__SynechococcalesD_4__Cyanobiaceae	0.222222222222222	0.777777777777778	NA	102
D_2__VerrucomicrobiaeD_3__VerrucomicrobialesD_4__Rubritaleaceae	NA	1	NA	52
D_2__GammaproteobacteriaD_3__BetaproteobacterialesD_4__Burkholderiaceae	0.333333333333333	0.666666666666667	NA	299
D_2__GammaproteobacteriaD_3__BetaproteobacterialesD_4__SC-I-84	NA	NA	NA	1
D_2__BacteroidiaD_3__FlavobacterialesD_4__Flavobacteriaceae	0.0645161290322581	0.774193548387097	0.161290322580645	393
D_2__BacteroidiaD_3__FlavobacterialesD_4__NS9 marine group	NA	1	NA	74
D_2__GammaproteobacteriaD_3__AlteromonadalesD_4__Pseudoalteromonadaceae	NA	NA	NA	38
D_2__VerrucomicrobiaeD_3__unculturedD_4__uncultured Opitutae bacterium	NA	NA	NA	1
D_2__BacteroidiaD_3__CytophagalesD_4__Spirosomaceae	NA	1	NA	6
D_2__AlphaproteobacteriaD_3__SAR11 cladeD_4__Clade I	NA	0.285714285714286	0.714285714285714	207
D_2__AcidimicrobiiaD_3__MicrotrichalesD_4__Microtrichaceae	NA	NA	1	30
D_2__GammaproteobacteriaD_3__VibrionalesD_4__Vibrionaceae	NA	NA	NA	44
D_2__DeltaproteobacteriaD_3__DesulfobacteralesD_4__Desulfobacteraceae	NA	1	NA	23
D_2__GammaproteobacteriaD_3__Ga0077536D_4__uncultured gamma proteobacterium	NA	NA	1	31
D_2__AlphaproteobacteriaD_3__CaulobacteralesD_4__Hyphomonadaceae	1	NA	NA	21
D_2__BacteroidiaD_3__CytophagalesD_4__Cyclobacteriaceae	0.5	NA	0.5	42
D_2__ActinobacteriaD_3__FrankialesD_4__Sporichthyaceae	0.818181818181818	0.181818181818182	NA	113
D_2__uncultured marine bacteriumD_3__uncultured marine bacteriumD_4__uncultured marine bacterium	NA	0.333333333333333	0.666666666666667	68
D_2__VerrucomicrobiaeD_3__OpitutalesD_4__Opitutaceae	NA	NA	NA	14
D_2__GammaproteobacteriaD_3__SAR86 cladeD_4__uncultured marine bacterium ZD0107	NA	NA	NA	1
D_2__AlphaproteobacteriaD_3__ThalassobaculalesD_4__Nisaeaceae	NA	NA	NA	8
D_2__GammaproteobacteriaD_3__BetaproteobacterialesD_4__Methylophilaceae	0.25	0.5	0.25	51
D_2__AlphaproteobacteriaD_3__PuniceispirillalesD_4__EF100-94H03	NA	NA	NA	4
D_2__VerrucomicrobiaeD_3__OpitutalesD_4__Puniceicoccaceae	NA	1	NA	34
D_2__BacteroidiaD_3__FlavobacterialesD_4__Crocinitomicaceae	0.428571428571429	0.428571428571429	0.142857142857143	77
D_2__AlphaproteobacteriaD_3__RhizobialesD_4__Rhizobiales Incertae Sedis	NA	NA	NA	6
D_2__NitrososphaeriaD_3__NitrosopumilalesD_4__Nitrosopumilaceae	NA	NA	NA	21
D_2__GammaproteobacteriaD_3__AlteromonadalesD_4__Alteromonadaceae	NA	NA	NA	51
D_2__GammaproteobacteriaD_3__CellvibrionalesD_4__Halieaceae	NA	0.833333333333333	0.166666666666667	84
D_2__BacteroidiaD_3__ChitinophagalesD_4__Saprospiraceae	0.666666666666667	0.333333333333333	NA	33
D_2__OxyphotobacteriaD_3__NostocalesD_4__Nostocaceae	NA	1	NA	34
D_2__AlphaproteobacteriaD_3__SphingomonadalesD_4__Sphingomonadaceae	NA	NA	1	115
D_2__VerrucomicrobiaeD_3__VerrucomicrobialesD_4__DEV007	NA	NA	NA	14
D_2__AlphaproteobacteriaD_3__RickettsialesD_4__Midichloriaceae	NA	NA	NA	4
D_2__AcidimicrobiiaD_3__MicrotrichalesD_4__Ilumatobacteraceae	0.625	0.375	NA	78
D_2__GammaproteobacteriaD_3__PseudomonadalesD_4__Pseudomonadaceae	NA	NA	NA	52
D_2__AlphaproteobacteriaD_3__SAR11 cladeD_4__Clade II	NA	1	NA	79
D_2__DeltaproteobacteriaD_3__DesulfarculalesD_4__Desulfarculaceae	NA	1	NA	12
D_2__AlphaproteobacteriaD_3__RhodovibrionalesD_4__Kiloniellaceae	NA	NA	NA	8
D_2__NitrospiniaD_3__NitrospinalesD_4__Nitrospinaceae	NA	NA	NA	30
D_2__AcidobacteriiaD_3__SolibacteralesD_4__Solibacteraceae (Subgroup 3)	NA	NA	NA	3
D_2__GammaproteobacteriaD_3__PseudomonadalesD_4__Moraxellaceae	NA	NA	NA	46
D_2__PlanctomycetaciaD_3__PirellulalesD_4__Pirellulaceae	NA	0.5	0.5	60
D_2__GammaproteobacteriaD_3__OceanospirillalesD_4__Nitrincolaceae	NA	NA	1	12
D_2__AlphaproteobacteriaD_3__RhodospirillalesD_4__AEGEAN-169 marine group	NA	1	NA	18
D_2__GammaproteobacteriaD_3__ArenicellalesD_4__Arenicellaceae	NA	NA	NA	9
D_2__AlphaproteobacteriaD_3__PuniceispirillalesD_4__SAR116 clade	NA	1	NA	46
D_2__GammaproteobacteriaD_3__CellvibrionalesD_4__Spongiibacteraceae	NA	1	NA	13
D_2__AlphaproteobacteriaD_3__SAR11 cladeD_4__Clade III	0.5	0.5	NA	35
D_2__GammaproteobacteriaD_3__CoxiellalesD_4__Coxiellaceae	NA	NA	NA	5
D_2__ThermoplasmataD_3__Marine Group IID_4__uncultured archaeon	NA	NA	NA	6
D_2__GammaproteobacteriaD_3__UBA10353 marine groupD_4__uncultured organism	NA	NA	NA	6
D_2__PlanctomycetaciaD_3__PlanctomycetalesD_4__Gimesiaceae	NA	NA	NA	17
D_2__BacteroidiaD_3__BacteroidalesD_4__Bacteroidetes BD2-2	NA	NA	NA	8
D_2__AlphaproteobacteriaD_3__KordiimonadalesD_4__uncultured	NA	0.666666666666667	0.333333333333333	57
D_2__GammaproteobacteriaD_3__Gammaproteobacteria Incertae SedisD_4__Unknown Family	NA	NA	NA	10
D_2__AlphaproteobacteriaD_3__RhodospirillalesD_4__Rhodospirillaceae	NA	NA	NA	14
D_2__GammaproteobacteriaD_3__ThiotrichalesD_4__Thiotrichaceae	NA	NA	NA	8
D_2__GammaproteobacteriaD_3__EctothiorhodospiralesD_4__Ectothiorhodospiraceae	NA	NA	NA	9
D_2__AlphaproteobacteriaD_3__MicropepsalesD_4__Micropepsaceae	NA	NA	NA	2
D_2__BacteroidiaD_3__FlavobacterialesD_4__Cryomorphaceae	0.125	0.875	NA	77
D_2__OxyphotobacteriaD_3__NostocalesD_4__Paraspirulinaceae	NA	NA	NA	1
D_2__GammaproteobacteriaD_3__OceanospirillalesD_4__Saccharospirillaceae	NA	NA	NA	10
D_2__ActinobacteriaD_3__PseudonocardialesD_4__Pseudonocardiaceae	NA	NA	NA	1
D_2__AlphaproteobacteriaD_3__RhizobialesD_4__Stappiaceae	NA	NA	NA	3
D_2__VerrucomicrobiaeD_3__ChthoniobacteralesD_4__Terrimicrobiaceae	0.5	0.5	NA	9
D_2__GammaproteobacteriaD_3__SteroidobacteralesD_4__Woeseiaceae	NA	NA	NA	31
D_2__AlphaproteobacteriaD_3__unculturedD_4__uncultured marine microorganism	NA	NA	NA	3
D_2__BacteroidiaD_3__SphingobacterialesD_4__env.OPS 17	NA	NA	NA	12
D_2__GammaproteobacteriaD_3__AlteromonadalesD_4__Colwelliaceae	NA	NA	NA	16
D_2__GammaproteobacteriaD_3__MethylococcalesD_4__Methylomonaceae	NA	1	NA	16
D_2__ActinobacteriaD_3__MicrococcalesD_4__Microbacteriaceae	NA	1	NA	58
D_2__AlphaproteobacteriaD_3__AcetobacteralesD_4__Acetobacteraceae	NA	NA	NA	7
D_2__DeltaproteobacteriaD_3__SAR324 clade(Marine group B)D_4__uncultured delta proteobacterium	NA	NA	NA	13
D_2__DeltaproteobacteriaD_3__BdellovibrionalesD_4__Bdellovibrionaceae	NA	NA	NA	23
D_2__AlphaproteobacteriaD_3__RickettsialesD_4__Rickettsiaceae	NA	NA	NA	11
D_2__CampylobacteriaD_3__CampylobacteralesD_4__Thiovulaceae	NA	1	NA	44
D_2__GammaproteobacteriaD_3__AlteromonadalesD_4__Marinobacteraceae	NA	NA	NA	11
D_2__ThermoanaerobaculiaD_3__ThermoanaerobaculalesD_4__Thermoanaerobaculaceae	NA	NA	NA	6
D_2__PlanctomycetaciaD_3__PlanctomycetalesD_4__Rubinisphaeraceae	NA	1	NA	23
D_2__AlphaproteobacteriaD_3__RhodospirillalesD_4__Magnetospiraceae	NA	1	NA	55
D_2__BacilliD_3__BacillalesD_4__Staphylococcaceae	NA	NA	NA	4
D_2__GammaproteobacteriaD_3__NitrosococcalesD_4__Nitrosococcaceae	NA	NA	NA	3
D_2__ActinobacteriaD_3__PeM15D_4__metagenome	NA	NA	NA	20
D_2__NitrospiraD_3__NitrospiralesD_4__Nitrospiraceae	NA	NA	NA	4
D_2__OM190D_3__unidentified planctomyceteD_4__unidentified planctomycete	NA	NA	NA	1
D_2__GammaproteobacteriaD_3__UBA10353 marine groupD_4__unidentified marine bacterioplankton	NA	NA	NA	3
D_2__AlphaproteobacteriaD_3__CaulobacteralesD_4__Caulobacteraceae	NA	NA	NA	33
D_2__GammaproteobacteriaD_3__BetaproteobacterialesD_4__TRA3-20	NA	NA	NA	6
D_2__AlphaproteobacteriaD_3__RhizobialesD_4__Rhizobiaceae	NA	NA	NA	13
D_2__GammaproteobacteriaD_3__BetaproteobacterialesD_4__Nitrosomonadaceae	NA	NA	1	18
D_2__LatescibacteriaD_3__LatescibacteralesD_4__Latescibacteraceae	NA	NA	NA	1
D_2__GammaproteobacteriaD_3__AlteromonadalesD_4__Shewanellaceae	NA	NA	NA	36
D_2__DeltaproteobacteriaD_3__MyxococcalesD_4__Nannocystaceae	NA	NA	NA	1
D_2__VerrucomicrobiaeD_3__PedosphaeralesD_4__Pedosphaeraceae	NA	NA	NA	11
D_2__GammaproteobacteriaD_3__XanthomonadalesD_4__Xanthomonadaceae	NA	NA	NA	12
D_2__ClostridiaD_3__ClostridialesD_4__Ruminococcaceae	NA	NA	NA	5
D_2__BacteroidiaD_3__SphingobacterialesD_4__NS11-12 marine group	NA	1	NA	21
D_2__PhycisphaeraeD_3__PhycisphaeralesD_4__Phycisphaeraceae	1	NA	NA	25
D_2__AnaerolineaeD_3__AnaerolinealesD_4__Anaerolineaceae	NA	NA	NA	12
D_2__GammaproteobacteriaD_3__OceanospirillalesD_4__Pseudohongiellaceae	NA	1	NA	41
D_2__AlphaproteobacteriaD_3__RhizobialesD_4__Hyphomicrobiaceae	NA	NA	NA	5
D_2__SpirochaetiaD_3__SpirochaetalesD_4__Spirochaetaceae	NA	NA	NA	5
D_2__MicrogenomatiaD_3__Candidatus PacebacteriaD_4__uncultured Microgenomates group bacterium	NA	NA	NA	1
