#OTUID	E-DS-623	E-JT-526	E-LS-526	E-CR-2016	E-TL-2016	E-VP-2016	E-DS-428	E-TL-Aug-2014	E-SOG-3619	E-SOG-6527	E-SOG-5527	E-TL-Jul-2014	E-SOG-5619	E-CB-2016	E-SOG-2527	E-LH-2016	E-BP-2016	E-PM-Aug-2013	E-TI-2014	E-SOG-6424	E-JP-2016	E-SOG-2619	E-FR-2014	E-LS-428	E-SOG-7424	E-WV-Aug-2014	E-WC-2016	E-SOG-1527	E-WV-7-2014	E-LS-623	E-TB-2016	E-PM-Jula-2014	E-PM-7-2014	E-MT-526	E-Tca-2014	E-WP-526	E-PM-2016	E-SOG-4424	E-WP-623	E-SOG-4527	E-WP-428	E-JT-428	E-DU-2016	E-SOG-1424	E-JT-623	E-DU-7-2014	E-BL-2016	E-DU-Jula-2014	E-MT-623	E-MT-428	E-TC-2014	E-TL-7-2014	E-SOG-3527	E-SOG-3424	E-SOG-2424	E-SOG-6619	E-SOG-5424	taxonomy
AACY023865524.1.1222	0.0	0.0	0.0	0.0	0.0	259.0	0.0	0.0	46.0	53.0	5.0	0.0	21.0	52.0	0.0	79.0	85.0	1626.0	132.0	29.0	168.0	264.0	0.0	0.0	161.0	828.0	14.0	30.0	346.0	0.0	316.0	375.0	34.0	0.0	0.0	9.0	19.0	77.0	0.0	52.0	10.0	46.0	31.0	137.0	36.0	998.0	0.0	806.0	0.0	0.0	1932.0	0.0	0.0	39.0	112.0	95.0	100.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__SAR11 clade; D_4__Clade I; D_5__Clade Ia; D_6__marine metagenome
EF016484.1.1484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	36.0	11.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	225.0	0.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Flavobacteriales; D_4__Crocinitomicaceae; D_5__Fluviicola; D_6__uncultured Bacteroidetes bacterium
JN626820.1.1334	285.0	175.0	409.0	0.0	8.0	11.0	465.0	69.0	15.0	0.0	12.0	19.0	0.0	0.0	617.0	47.0	48.0	0.0	0.0	17.0	5.0	822.0	341.0	458.0	7.0	0.0	37.0	318.0	0.0	803.0	0.0	0.0	0.0	609.0	1130.0	379.0	0.0	368.0	669.0	337.0	471.0	493.0	46.0	31.0	760.0	24.0	20.0	0.0	662.0	72.0	0.0	1064.0	580.0	283.0	170.0	0.0	46.0	D_0__Bacteria; D_1__Actinobacteria; D_2__Actinobacteria; D_3__Frankiales; D_4__Sporichthyaceae; D_5__hgcI clade; D_6__uncultured bacterium
JQ712058.1.1483	0.0	0.0	0.0	0.0	0.0	261.0	0.0	0.0	28.0	166.0	468.0	0.0	7.0	49.0	148.0	355.0	109.0	1141.0	386.0	23.0	211.0	64.0	0.0	24.0	42.0	116.0	968.0	542.0	396.0	0.0	538.0	127.0	44.0	0.0	0.0	0.0	162.0	45.0	0.0	736.0	0.0	0.0	320.0	41.0	0.0	2598.0	0.0	1003.0	0.0	0.0	477.0	0.0	0.0	12.0	36.0	89.0	52.0	D_0__Bacteria; D_1__Actinobacteria; D_2__Actinobacteria; D_3__Micrococcales; D_4__Microbacteriaceae; D_5__Candidatus Aquiluna; D_6__uncultured bacterium
EU799011.1.1398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.0	13.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	5.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.0	17.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rhodobacterales; D_4__Rhodobacteraceae; D_5__Roseobacter clade NAC11-7 lineage; D_6__uncultured bacterium
EU799087.1.1203	0.0	0.0	0.0	0.0	0.0	2818.0	0.0	0.0	763.0	667.0	49.0	0.0	551.0	1073.0	33.0	2939.0	2478.0	767.0	298.0	530.0	2443.0	1307.0	0.0	0.0	1923.0	894.0	1669.0	438.0	4168.0	0.0	2998.0	426.0	3520.0	0.0	0.0	0.0	1424.0	358.0	0.0	549.0	7.0	7.0	1396.0	757.0	28.0	15459.0	0.0	5034.0	0.0	0.0	7939.0	0.0	0.0	67.0	281.0	284.0	737.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rhodobacterales; D_4__Rhodobacteraceae; D_5__Planktomarina; D_6__uncultured bacterium
EU801730.1.1432	0.0	0.0	0.0	0.0	0.0	258.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	270.0	813.0	583.0	21.0	641.0	0.0	225.0	392.0	0.0	37.0	9.0	144.0	143.0	187.0	1617.0	0.0	423.0	8.0	18.0	0.0	0.0	0.0	105.0	7.0	0.0	235.0	0.0	0.0	462.0	6.0	0.0	14108.0	0.0	1093.0	0.0	0.0	68.0	0.0	0.0	0.0	0.0	0.0	7.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Betaproteobacteriales; D_4__Burkholderiaceae; D_5__RS62 marine group; D_6__uncultured bacterium
FR684443.1.1425	0.0	0.0	0.0	0.0	0.0	44.0	0.0	0.0	42.0	32.0	5.0	0.0	33.0	10.0	0.0	65.0	61.0	9.0	0.0	21.0	47.0	69.0	0.0	0.0	131.0	15.0	32.0	20.0	71.0	0.0	49.0	0.0	35.0	0.0	0.0	0.0	26.0	20.0	0.0	31.0	0.0	0.0	8.0	33.0	0.0	215.0	0.0	58.0	0.0	0.0	145.0	0.0	0.0	0.0	18.0	15.0	47.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rhodobacterales; D_4__Rhodobacteraceae; D_5__Planktomarina; D_6__uncultured marine bacterium
LN909521.1.1344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Oceanospirillales; D_4__Marinomonadaceae; D_5__Marinomonas; D_6__Marinomonas gallaica
HM856537.1.1451	160.0	100.0	121.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	139.0	9.0	5.0	0.0	0.0	0.0	0.0	253.0	298.0	34.0	0.0	0.0	5.0	82.0	0.0	420.0	0.0	0.0	0.0	153.0	1833.0	111.0	0.0	16.0	356.0	65.0	39.0	45.0	0.0	0.0	249.0	5.0	0.0	0.0	304.0	8.0	0.0	1929.0	185.0	9.0	8.0	0.0	0.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Chitinophagales; D_4__Chitinophagaceae; D_5__Dinghuibacter; D_6__uncultured Chitinophagaceae bacterium
GQ848398.1.912	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	20.0	6.0	72.0	0.0	8.0	22.0	0.0	0.0	38.0	14.0	0.0	0.0	18.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	6.0	6.0	24.0	10.0	13.0	9.0	12.0	0.0	50.0	0.0	0.0	11.0	0.0	0.0	11.0	10.0	0.0	14.0	D_0__Archaea; D_1__Thaumarchaeota; D_2__Nitrososphaeria; D_3__Nitrosopumilales; D_4__Nitrosopumilaceae; D_5__Candidatus Nitrosopumilus; D_6__uncultured archaeon
